id,name,created_at
1babf5e2-f0af-4342-833d-536e87db1075,Water Supply,2026-03-18 09:38:39.83846+00
213da3aa-a4c2-41cc-939d-44074de87293,Rural Development,2026-03-18 09:38:39.83846+00
2b3793a9-0599-4b4f-b790-642588596b9f,Tourism,2026-03-18 09:38:39.83846+00
3699a95e-66c0-4af4-9d2f-90bb585cb729,Social,2026-03-18 09:38:39.83846+00
3d5696b3-831b-48be-9b90-58bb89a53108,Housing,2026-03-18 09:38:39.83846+00
405e2f8d-2553-488d-9be1-44db0d811879,Agriculture,2026-03-18 09:38:39.83846+00
44fbff22-bf8b-4f11-a0d4-f09dc8ad9100,Environment,2026-03-18 09:38:39.83846+00
4c11619d-a2b5-4615-83b9-d63b8f33633d,Health,2026-03-18 09:38:39.83846+00
87f97550-68d5-4aa2-8649-40edfe12ad28,Urban Development,2026-03-18 09:38:39.83846+00
8deeb740-7379-4ff0-a766-ac99434cedc4,Education,2026-03-18 09:38:39.83846+00
b6258f19-6235-4445-a59d-c5d0be109c48,Road,2026-03-18 09:38:39.83846+00
d54c5566-b2ca-47d1-932a-5df1c10c2efb,Energy,2026-03-18 09:38:39.83846+00
d613675c-f6ff-457e-9488-d3b3aac2b55a,Transport,2026-03-18 09:38:39.83846+00
df5a944d-13e7-404c-ac7e-e9b079974416,Infrastructure,2026-03-18 09:38:39.83846+00
e50fa636-3abb-4e1b-bf61-54f15f413027,Industry,2026-03-18 09:38:39.83846+00
f6ef5b44-b6f9-450c-b793-378ca3ce25a7,IT,2026-03-18 09:38:39.83846+00
